price,tax,other_variable_cost,cac,net_sales,gateway_cost,pre_marketing_contribution,after_acquisition,contribution_pct_receipts,scope
199,0.18,10,150,168.6440677966102,4.6964,153.94766779661018,3.947667796610176,0.773606370837237,"Assumption scenario, not observed FanCode margin"
199,0.18,10,175,168.6440677966102,4.6964,153.94766779661018,-21.052332203389824,0.773606370837237,"Assumption scenario, not observed FanCode margin"
199,0.18,10,200,168.6440677966102,4.6964,153.94766779661018,-46.052332203389824,0.773606370837237,"Assumption scenario, not observed FanCode margin"
199,0.18,30,0,168.6440677966102,4.6964,133.94766779661018,133.94766779661018,0.673103858274423,"Assumption scenario, not observed FanCode margin"
199,0.18,30,150,168.6440677966102,4.6964,133.94766779661018,-16.052332203389824,0.673103858274423,"Assumption scenario, not observed FanCode margin"
199,0.18,30,175,168.6440677966102,4.6964,133.94766779661018,-41.052332203389824,0.673103858274423,"Assumption scenario, not observed FanCode margin"
199,0.18,30,200,168.6440677966102,4.6964,133.94766779661018,-66.05233220338982,0.673103858274423,"Assumption scenario, not observed FanCode margin"
199,0.18,60,0,168.6440677966102,4.6964,103.94766779661018,103.94766779661018,0.5223500894302019,"Assumption scenario, not observed FanCode margin"
199,0.18,60,150,168.6440677966102,4.6964,103.94766779661018,-46.052332203389824,0.5223500894302019,"Assumption scenario, not observed FanCode margin"
199,0.18,60,175,168.6440677966102,4.6964,103.94766779661018,-71.05233220338982,0.5223500894302019,"Assumption scenario, not observed FanCode margin"
199,0.18,60,200,168.6440677966102,4.6964,103.94766779661018,-96.05233220338982,0.5223500894302019,"Assumption scenario, not observed FanCode margin"
399,0.0,10,0,399.0,9.4164,379.5836,379.5836,0.9513373433583959,"Assumption scenario, not observed FanCode margin"
399,0.0,10,150,399.0,9.4164,379.5836,229.5836,0.9513373433583959,"Assumption scenario, not observed FanCode margin"
399,0.0,10,175,399.0,9.4164,379.5836,204.5836,0.9513373433583959,"Assumption scenario, not observed FanCode margin"
399,0.0,10,200,399.0,9.4164,379.5836,179.5836,0.9513373433583959,"Assumption scenario, not observed FanCode margin"
399,0.0,30,0,399.0,9.4164,359.5836,359.5836,0.9012120300751879,"Assumption scenario, not observed FanCode margin"
399,0.0,30,150,399.0,9.4164,359.5836,209.5836,0.9012120300751879,"Assumption scenario, not observed FanCode margin"
399,0.0,30,175,399.0,9.4164,359.5836,184.5836,0.9012120300751879,"Assumption scenario, not observed FanCode margin"
399,0.0,30,200,399.0,9.4164,359.5836,159.5836,0.9012120300751879,"Assumption scenario, not observed FanCode margin"
399,0.0,60,0,399.0,9.4164,329.5836,329.5836,0.8260240601503759,"Assumption scenario, not observed FanCode margin"
399,0.0,60,150,399.0,9.4164,329.5836,179.5836,0.8260240601503759,"Assumption scenario, not observed FanCode margin"
399,0.0,60,175,399.0,9.4164,329.5836,154.5836,0.8260240601503759,"Assumption scenario, not observed FanCode margin"
399,0.0,60,200,399.0,9.4164,329.5836,129.5836,0.8260240601503759,"Assumption scenario, not observed FanCode margin"
399,0.18,10,0,338.135593220339,9.4164,318.719193220339,318.719193220339,0.7987949704770401,"Assumption scenario, not observed FanCode margin"
399,0.18,10,150,338.135593220339,9.4164,318.719193220339,168.71919322033898,0.7987949704770401,"Assumption scenario, not observed FanCode margin"
399,0.18,10,175,338.135593220339,9.4164,318.719193220339,143.71919322033898,0.7987949704770401,"Assumption scenario, not observed FanCode margin"
399,0.18,10,200,338.135593220339,9.4164,318.719193220339,118.71919322033898,0.7987949704770401,"Assumption scenario, not observed FanCode margin"
399,0.18,30,0,338.135593220339,9.4164,298.719193220339,298.719193220339,0.748669657193832,"Assumption scenario, not observed FanCode margin"
399,0.18,30,150,338.135593220339,9.4164,298.719193220339,148.71919322033898,0.748669657193832,"Assumption scenario, not observed FanCode margin"
399,0.18,30,175,338.135593220339,9.4164,298.719193220339,123.71919322033898,0.748669657193832,"Assumption scenario, not observed FanCode margin"
399,0.18,30,200,338.135593220339,9.4164,298.719193220339,98.71919322033898,0.748669657193832,"Assumption scenario, not observed FanCode margin"
399,0.18,60,0,338.135593220339,9.4164,268.719193220339,268.719193220339,0.67348168726902,"Assumption scenario, not observed FanCode margin"
399,0.18,60,150,338.135593220339,9.4164,268.719193220339,118.71919322033898,0.67348168726902,"Assumption scenario, not observed FanCode margin"
399,0.18,60,175,338.135593220339,9.4164,268.719193220339,93.71919322033898,0.67348168726902,"Assumption scenario, not observed FanCode margin"
399,0.18,60,200,338.135593220339,9.4164,268.719193220339,68.71919322033898,0.67348168726902,"Assumption scenario, not observed FanCode margin"
899,0.0,10,0,899.0,21.2164,867.7836,867.7836,0.9652765294771969,"Assumption scenario, not observed FanCode margin"
899,0.0,10,150,899.0,21.2164,867.7836,717.7836,0.9652765294771969,"Assumption scenario, not observed FanCode margin"
899,0.0,10,175,899.0,21.2164,867.7836,692.7836,0.9652765294771969,"Assumption scenario, not observed FanCode margin"
899,0.0,10,200,899.0,21.2164,867.7836,667.7836,0.9652765294771969,"Assumption scenario, not observed FanCode margin"
899,0.0,30,0,899.0,21.2164,847.7836,847.7836,0.9430295884315907,"Assumption scenario, not observed FanCode margin"
899,0.0,30,150,899.0,21.2164,847.7836,697.7836,0.9430295884315907,"Assumption scenario, not observed FanCode margin"
899,0.0,30,175,899.0,21.2164,847.7836,672.7836,0.9430295884315907,"Assumption scenario, not observed FanCode margin"
899,0.0,30,200,899.0,21.2164,847.7836,647.7836,0.9430295884315907,"Assumption scenario, not observed FanCode margin"
899,0.0,60,0,899.0,21.2164,817.7836,817.7836,0.9096591768631813,"Assumption scenario, not observed FanCode margin"
899,0.0,60,150,899.0,21.2164,817.7836,667.7836,0.9096591768631813,"Assumption scenario, not observed FanCode margin"
899,0.0,60,175,899.0,21.2164,817.7836,642.7836,0.9096591768631813,"Assumption scenario, not observed FanCode margin"
899,0.0,60,200,899.0,21.2164,817.7836,617.7836,0.9096591768631813,"Assumption scenario, not observed FanCode margin"
899,0.18,10,0,761.8644067796611,21.2164,730.648006779661,730.648006779661,0.812734156595841,"Assumption scenario, not observed FanCode margin"
899,0.18,10,150,761.8644067796611,21.2164,730.648006779661,580.648006779661,0.812734156595841,"Assumption scenario, not observed FanCode margin"
899,0.18,10,175,761.8644067796611,21.2164,730.648006779661,555.648006779661,0.812734156595841,"Assumption scenario, not observed FanCode margin"
899,0.18,10,200,761.8644067796611,21.2164,730.648006779661,530.648006779661,0.812734156595841,"Assumption scenario, not observed FanCode margin"
899,0.18,30,0,761.8644067796611,21.2164,710.648006779661,710.648006779661,0.7904872155502347,"Assumption scenario, not observed FanCode margin"
899,0.18,30,150,761.8644067796611,21.2164,710.648006779661,560.648006779661,0.7904872155502347,"Assumption scenario, not observed FanCode margin"
